id,seller_id,name,description,price,image,stock,category_id,created_at
60,25,Hadramout Classic Action Figure,A must-have for your collection. Designed for durability and excellence.,22.02,/uploads/synthetic_prod_60.jpg,249,5,2025-08-30 11:46:32
61,12,SanaaStyle Premium Smartwatch,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,61.84,/uploads/synthetic_prod_61.jpg,406,2,2026-02-09 11:46:32
62,18,Hadramout Handcrafted Action Figure,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,76.17,/uploads/synthetic_prod_62.jpg,95,5,2024-09-08 11:46:32
63,14,Moka Modern Copper Tray,Discover the rich heritage and modern utility blended perfectly in this product.,229.06,/uploads/synthetic_prod_63.jpg,947,9,2025-03-02 11:46:32
64,20,SanaaStyle Ultra Almonds,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,100.75,/uploads/synthetic_prod_64.jpg,95,8,2026-01-18 11:46:32
65,1,DesertOasis Ultra Almonds,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,36.76,/uploads/synthetic_prod_65.jpg,586,8,2026-02-07 11:46:32
66,24,DesertOasis Classic Shoes,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,32.15,/uploads/synthetic_prod_66.jpg,671,3,2024-06-23 11:46:32
67,4,Hadramout Authentic Building Blocks,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,30.96,/uploads/synthetic_prod_67.jpg,598,5,2025-12-14 11:46:32
68,23,Hadramout Essential Wallet,Discover the rich heritage and modern utility blended perfectly in this product.,23.61,/uploads/synthetic_prod_68.jpg,244,3,2024-07-30 11:46:32
69,4,YemenTech Advanced Belt,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,63.23,/uploads/synthetic_prod_69.jpg,363,3,2026-01-20 11:46:32
70,14,Balkis Modern Ring,A must-have for your collection. Designed for durability and excellence.,148.59,/uploads/synthetic_prod_70.jpg,259,3,2025-11-16 11:46:32
71,15,DesertOasis Handcrafted Heels,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,42.55,/uploads/synthetic_prod_71.jpg,184,4,2025-07-07 11:46:32
72,15,DesertOasis Authentic Perfume,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,24.12,/uploads/synthetic_prod_72.jpg,217,4,2025-02-20 11:46:32
73,10,AdenGoods Premium Wooden Box,Discover the rich heritage and modern utility blended perfectly in this product.,49.42,/uploads/synthetic_prod_73.jpg,325,9,2025-01-19 11:46:32
74,24,Hadramout Classic Handwoven Tapestry,Discover the rich heritage and modern utility blended perfectly in this product.,45.23,/uploads/synthetic_prod_74.jpg,304,9,2026-04-02 11:46:32
75,20,Saba Essential Cushion,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,114.42,/uploads/synthetic_prod_75.jpg,938,6,2024-11-02 11:46:32
76,25,AdenGoods Essential Tablet,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,1186.82,/uploads/synthetic_prod_76.jpg,480,2,2024-06-23 11:46:32
77,25,YemenTech Luxury Fouta,Discover the rich heritage and modern utility blended perfectly in this product.,53.64,/uploads/synthetic_prod_77.jpg,795,3,2024-09-11 11:46:32
78,19,GoldenHorn Premium Jambiya,Discover the rich heritage and modern utility blended perfectly in this product.,192.65,/uploads/synthetic_prod_78.jpg,168,9,2024-08-08 11:46:32
79,5,GoldenHorn Advanced Shawl,Discover the rich heritage and modern utility blended perfectly in this product.,129.19,/uploads/synthetic_prod_79.jpg,882,4,2025-05-11 11:46:32
80,19,Saba Advanced Olive Oil,Engineered for high performance. Customers love the premium feel and long-lasting build.,170.63,/uploads/synthetic_prod_80.jpg,921,8,2026-02-20 11:46:32
81,11,SanaaStyle Ultra Scarf,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,25.48,/uploads/synthetic_prod_81.jpg,157,4,2025-11-22 11:46:32
82,4,GoldenHorn Authentic Almonds,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,157.29,/uploads/synthetic_prod_82.jpg,235,8,2024-08-14 11:46:32
83,19,Moka Classic Dates,A must-have for your collection. Designed for durability and excellence.,104.39,/uploads/synthetic_prod_83.jpg,812,8,2025-05-10 11:46:32
84,12,Saba Classic Mocha Coffee,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,35.02,/uploads/synthetic_prod_84.jpg,564,8,2024-11-05 11:46:32
85,14,GoldenHorn Organic Puzzle,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,26.41,/uploads/synthetic_prod_85.jpg,966,5,2024-08-18 11:46:32
86,18,SanaaStyle Classic Lantern,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,101.97,/uploads/synthetic_prod_86.jpg,15,6,2025-10-18 11:46:32
87,12,DesertOasis Modern Laptop,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,593.33,/uploads/synthetic_prod_87.jpg,690,2,2025-01-07 11:46:32
88,2,Moka Advanced Puzzle,A must-have for your collection. Designed for durability and excellence.,82.18,/uploads/synthetic_prod_88.jpg,44,5,2025-09-04 11:46:32
89,13,Saba Essential Doll,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,26.41,/uploads/synthetic_prod_89.jpg,786,5,2025-02-03 11:46:32
90,3,SanaaStyle Classic Mocha Coffee,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,90.5,/uploads/synthetic_prod_90.jpg,317,8,2025-06-20 11:46:32
91,2,Balkis Modern Heels,A must-have for your collection. Designed for durability and excellence.,32.14,/uploads/synthetic_prod_91.jpg,925,4,2024-11-13 11:46:32
92,12,Saba Organic Vase,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,87.18,/uploads/synthetic_prod_92.jpg,942,6,2025-08-28 11:46:32
93,13,AdenGoods Classic Dates,A must-have for your collection. Designed for durability and excellence.,22.77,/uploads/synthetic_prod_93.jpg,404,8,2026-04-09 11:46:32
94,22,SanaaStyle Organic Lantern,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,98.71,/uploads/synthetic_prod_94.jpg,815,6,2024-12-01 11:46:32
95,16,RedSea Luxury Bed Sheets,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,148.51,/uploads/synthetic_prod_95.jpg,744,6,2026-02-13 11:46:32
96,21,RedSea Handcrafted Bluetooth Speaker,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,930.22,/uploads/synthetic_prod_96.jpg,112,2,2025-06-23 11:46:32
97,4,Balkis Classic Soap,A must-have for your collection. Designed for durability and excellence.,100.03,/uploads/synthetic_prod_97.jpg,2,7,2024-07-03 11:46:32
98,7,Balkis Organic Mocha Coffee,Discover the rich heritage and modern utility blended perfectly in this product.,111.31,/uploads/synthetic_prod_98.jpg,279,8,2025-04-12 11:46:32
99,14,GoldenHorn Ultra Hawaij Spice,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,112.82,/uploads/synthetic_prod_99.jpg,766,8,2025-12-01 11:46:32
100,6,Saba Handcrafted Earrings,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,130.05,/uploads/synthetic_prod_100.jpg,169,4,2025-06-04 11:46:32
101,23,YemenTech Essential Toy Car,A must-have for your collection. Designed for durability and excellence.,112.26,/uploads/synthetic_prod_101.jpg,635,5,2026-02-20 11:46:32
102,13,SanaaStyle Authentic Cushion,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,128.76,/uploads/synthetic_prod_102.jpg,437,6,2024-07-26 11:46:32
103,5,RedSea Ultra Heels,A must-have for your collection. Designed for durability and excellence.,148.57,/uploads/synthetic_prod_103.jpg,424,4,2025-09-23 11:46:32
104,18,YemenTech Essential Scarf,Discover the rich heritage and modern utility blended perfectly in this product.,29.71,/uploads/synthetic_prod_104.jpg,382,4,2026-01-20 11:46:32
105,11,Balkis Premium Power Bank,Discover the rich heritage and modern utility blended perfectly in this product.,50.3,/uploads/synthetic_prod_105.jpg,916,2,2024-07-13 11:46:32
106,16,YemenTech Luxury Kids Jacket,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,146.96,/uploads/synthetic_prod_106.jpg,113,5,2024-11-24 11:46:32
107,15,AdenGoods Advanced Wallet,A must-have for your collection. Designed for durability and excellence.,10.92,/uploads/synthetic_prod_107.jpg,979,3,2024-10-09 11:46:32
108,2,SanaaStyle Ultra Toy Car,Engineered for high performance. Customers love the premium feel and long-lasting build.,56.54,/uploads/synthetic_prod_108.jpg,367,5,2025-12-02 11:46:32
109,2,Hadramout Premium Earrings,Discover the rich heritage and modern utility blended perfectly in this product.,100.45,/uploads/synthetic_prod_109.jpg,951,4,2025-03-31 11:46:32
110,4,Balkis Premium Building Blocks,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,55.48,/uploads/synthetic_prod_110.jpg,658,5,2025-05-09 11:46:32
111,7,DesertOasis Premium Shoes,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,122.41,/uploads/synthetic_prod_111.jpg,132,3,2025-08-05 11:46:32
112,16,Saba Modern Dates,A must-have for your collection. Designed for durability and excellence.,146.35,/uploads/synthetic_prod_112.jpg,200,8,2025-04-19 11:46:32
113,4,Balkis Essential Coffee Pot,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,32.58,/uploads/synthetic_prod_113.jpg,413,6,2024-06-05 11:46:32
114,17,SanaaStyle Modern Smartwatch,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,1100.17,/uploads/synthetic_prod_114.jpg,278,2,2025-03-11 11:46:32
115,8,AdenGoods Premium Smartwatch,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,210.25,/uploads/synthetic_prod_115.jpg,658,2,2025-01-11 11:46:32
116,15,Balkis Handcrafted Hawaij Spice,Discover the rich heritage and modern utility blended perfectly in this product.,74.45,/uploads/synthetic_prod_116.jpg,997,8,2024-08-07 11:46:32
117,18,RedSea Organic Pottery,Discover the rich heritage and modern utility blended perfectly in this product.,196.03,/uploads/synthetic_prod_117.jpg,108,9,2025-10-10 11:46:32
118,25,DesertOasis Essential Kids Jacket,A must-have for your collection. Designed for durability and excellence.,57.98,/uploads/synthetic_prod_118.jpg,369,5,2026-03-14 11:46:32
119,14,Hadramout Ultra Jambiya,A must-have for your collection. Designed for durability and excellence.,111.31,/uploads/synthetic_prod_119.jpg,825,9,2025-07-17 11:46:32
120,21,Hadramout Classic Silver Amulet,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,134.33,/uploads/synthetic_prod_120.jpg,644,9,2025-04-06 11:46:32
121,1,RedSea Modern Belt,Engineered for high performance. Customers love the premium feel and long-lasting build.,129.67,/uploads/synthetic_prod_121.jpg,389,3,2025-04-22 11:46:32
122,17,GoldenHorn Ultra Face Cream,A must-have for your collection. Designed for durability and excellence.,69.2,/uploads/synthetic_prod_122.jpg,391,7,2024-11-19 11:46:32
123,7,SanaaStyle Organic Wooden Box,A must-have for your collection. Designed for durability and excellence.,73.78,/uploads/synthetic_prod_123.jpg,595,9,2024-12-29 11:46:32
124,9,RedSea Advanced Cardamom,Discover the rich heritage and modern utility blended perfectly in this product.,133.91,/uploads/synthetic_prod_124.jpg,692,8,2026-03-22 11:46:32
125,18,DesertOasis Classic Handwoven Tapestry,Discover the rich heritage and modern utility blended perfectly in this product.,46.05,/uploads/synthetic_prod_125.jpg,540,9,2026-01-12 11:46:32
126,8,SanaaStyle Ultra Kids Jacket,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,52.67,/uploads/synthetic_prod_126.jpg,157,5,2025-09-05 11:46:32
127,9,Moka Classic Smartwatch,A must-have for your collection. Designed for durability and excellence.,1389.85,/uploads/synthetic_prod_127.jpg,572,2,2025-01-03 11:46:32
128,23,RedSea Handcrafted Incense Burner,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,191.21,/uploads/synthetic_prod_128.jpg,33,9,2025-08-28 11:46:32
129,25,Balkis Authentic Coffee Pot,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,99.85,/uploads/synthetic_prod_129.jpg,90,6,2025-03-24 11:46:32
130,5,Moka Modern Mocha Coffee,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,152.89,/uploads/synthetic_prod_130.jpg,589,8,2025-07-22 11:46:32
131,9,DesertOasis Luxury Hawaij Spice,Engineered for high performance. Customers love the premium feel and long-lasting build.,55.58,/uploads/synthetic_prod_131.jpg,946,8,2024-12-15 11:46:32
132,13,YemenTech Handcrafted Cardamom,A must-have for your collection. Designed for durability and excellence.,51.81,/uploads/synthetic_prod_132.jpg,103,8,2025-09-17 11:46:32
133,11,DesertOasis Handcrafted Saffron,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,142.62,/uploads/synthetic_prod_133.jpg,14,8,2025-11-03 11:46:32
134,14,RedSea Handcrafted Saffron,A must-have for your collection. Designed for durability and excellence.,119.54,/uploads/synthetic_prod_134.jpg,773,8,2024-06-01 11:46:32
135,3,Hadramout Organic Lotion,A must-have for your collection. Designed for durability and excellence.,79.69,/uploads/synthetic_prod_135.jpg,79,7,2026-04-02 11:46:32
136,5,DesertOasis Essential Bluetooth Speaker,A must-have for your collection. Designed for durability and excellence.,1471.32,/uploads/synthetic_prod_136.jpg,306,2,2025-10-18 11:46:32
137,8,YemenTech Authentic Bed Sheets,Discover the rich heritage and modern utility blended perfectly in this product.,79.2,/uploads/synthetic_prod_137.jpg,670,6,2024-11-05 11:46:32
138,5,RedSea Advanced Wallet,A must-have for your collection. Designed for durability and excellence.,100.32,/uploads/synthetic_prod_138.jpg,801,3,2024-12-05 11:46:32
139,5,GoldenHorn Premium Jambiya,A must-have for your collection. Designed for durability and excellence.,70.81,/uploads/synthetic_prod_139.jpg,87,9,2024-12-15 11:46:32
140,20,RedSea Organic Mocha Coffee,Engineered for high performance. Customers love the premium feel and long-lasting build.,84.7,/uploads/synthetic_prod_140.jpg,593,8,2024-10-11 11:46:32
141,10,GoldenHorn Essential Almonds,A must-have for your collection. Designed for durability and excellence.,125.74,/uploads/synthetic_prod_141.jpg,285,8,2024-05-08 11:46:32
142,3,RedSea Premium Handwoven Tapestry,Discover the rich heritage and modern utility blended perfectly in this product.,203.88,/uploads/synthetic_prod_142.jpg,292,9,2026-04-06 11:46:32
143,1,Saba Organic Air Fryer,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,106.06,/uploads/synthetic_prod_143.jpg,139,6,2025-08-10 11:46:32
144,9,AdenGoods Classic Heels,Engineered for high performance. Customers love the premium feel and long-lasting build.,137.2,/uploads/synthetic_prod_144.jpg,105,4,2024-11-13 11:46:32
145,10,YemenTech Ultra Rug,Engineered for high performance. Customers love the premium feel and long-lasting build.,131.01,/uploads/synthetic_prod_145.jpg,652,6,2025-05-15 11:46:32
146,19,DesertOasis Modern Olive Oil,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,111.92,/uploads/synthetic_prod_146.jpg,610,8,2025-05-06 11:46:32
147,12,GoldenHorn Modern Wallet,Discover the rich heritage and modern utility blended perfectly in this product.,41.76,/uploads/synthetic_prod_147.jpg,865,3,2025-06-08 11:46:32
148,11,Saba Classic Incense Burner,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,46.69,/uploads/synthetic_prod_148.jpg,872,9,2024-04-26 11:46:32
149,16,AdenGoods Premium Almonds,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,16.13,/uploads/synthetic_prod_149.jpg,780,8,2025-07-05 11:46:32
150,22,AdenGoods Handcrafted Jacket,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,83.11,/uploads/synthetic_prod_150.jpg,974,3,2025-02-15 11:46:32
151,21,RedSea Ultra Belt,Discover the rich heritage and modern utility blended perfectly in this product.,67.62,/uploads/synthetic_prod_151.jpg,598,3,2025-04-24 11:46:32
152,6,YemenTech Luxury Necklace,Discover the rich heritage and modern utility blended perfectly in this product.,51.29,/uploads/synthetic_prod_152.jpg,500,4,2026-04-11 11:46:32
153,22,Balkis Advanced Shirt,A must-have for your collection. Designed for durability and excellence.,54.11,/uploads/synthetic_prod_153.jpg,417,3,2024-11-11 11:46:32
154,11,GoldenHorn Advanced Hawaij Spice,Discover the rich heritage and modern utility blended perfectly in this product.,111.52,/uploads/synthetic_prod_154.jpg,182,8,2025-12-15 11:46:32
155,10,Saba Essential Saffron,Discover the rich heritage and modern utility blended perfectly in this product.,213.31,/uploads/synthetic_prod_155.jpg,399,8,2025-01-08 11:46:32
156,4,AdenGoods Essential Kids Jacket,A must-have for your collection. Designed for durability and excellence.,99.72,/uploads/synthetic_prod_156.jpg,446,5,2025-09-26 11:46:32
157,16,Moka Essential Shawl,Locally sourced and carefully packaged. Brings authentic style and function right to your door.,79.23,/uploads/synthetic_prod_157.jpg,656,4,2025-04-29 11:46:32
158,14,YemenTech Handcrafted Tablet,Experience the ultimate quality with this highly rated item. Perfect for daily use and crafted with care.,387.6,/uploads/synthetic_prod_158.jpg,50,2,2024-11-22 11:46:32
159,5,GoldenHorn Classic Rug,Discover the rich heritage and modern utility blended perfectly in this product.,67.68,/uploads/synthetic_prod_159.jpg,308,6,2024-10-19 11:46:32
160,23,Balkis Luxury Dates,Discover the rich heritage and modern utility blended perfectly in this product.,155.21,/uploads/synthetic_prod_160.jpg,923,8,2025-11-25 11:46:32
161,22,GoldenHorn Organic Coffee Pot,Engineered for high performance. Customers love the premium feel and long-lasting build.,33.64,/uploads/synthetic_prod_161.jpg,259,6,2025-08-24 11:46:32
